date,symbol,open_price,close_price,high_price,low_price,volume
2020-01-01,AAPL,275,413.0,520,939,967180.0
2020-01-02,AAPL,1320,214.0,904,751,100070.0
2020-01-03,AAPL,637,482.0,1133,913,400812.0
2020-01-04,AAPL,602,172.0,1363,481,
2020-01-05,AAPL,311,417.0,655,304,895802.0
2020-01-06,AAPL,1019,1104.0,1115,639,613262.0
2020-01-07,AAPL,1472,1192.0,1080,762,740977.0
2020-01-08,AAPL,1309,659.0,740,945,624092.0
2020-01-09,AAPL,635,1165.0,270,646,167750.0
2020-01-10,AAPL,445,601.0,1159,697,687247.0
2020-01-11,AAPL,466,495.0,607,510,887867.0
2020-01-12,AAPL,654,1366.0,676,1144,219063.0
2020-01-13,AAPL,830,1078.0,1536,221,763868.0
2020-01-14,AAPL,1004,293.0,1461,615,430781.0
2020-01-15,AAPL,1291,513.0,1048,1323,450885.0
2020-01-16,AAPL,1192,860.0,578,226,771258.0
2020-01-17,AAPL,491,681.0,1279,336,921429.0
2020-01-18,AAPL,1040,106.0,365,881,283152.0
2020-01-19,AAPL,1199,1433.0,1376,595,631626.0
2020-01-20,AAPL,923,1365.0,1135,989,804165.0
2020-01-21,AAPL,350,1007.0,1388,789,119056.0
2020-01-22,AAPL,1130,1167.0,962,911,454021.0
2020-01-23,AAPL,1168,1455.0,256,653,697496.0
2020-01-24,AAPL,1449,692.0,1450,1232,482885.0
2020-01-25,AAPL,1276,544.0,708,235,632738.0
2020-01-26,AAPL,283,1258.0,951,1066,125918.0
2020-01-27,AAPL,1049,565.0,1227,477,779673.0
2020-01-28,AAPL,1236,994.0,1268,414,
2020-01-29,AAPL,863,555.0,998,611,674196.0
2020-01-30,AAPL,1313,977.0,585,746,921455.0
2020-01-31,AAPL,390,668.0,988,189,598136.0
2020-02-01,AAPL,412,428.0,233,1191,651980.0
2020-02-02,AAPL,301,1439.0,1477,252,536133.0
2020-02-03,AAPL,650,306.0,1102,713,415311.0
2020-02-04,AAPL,872,1428.0,1065,1098,830678.0
2020-02-05,AAPL,594,571.0,238,376,703467.0
2020-02-06,AAPL,1261,504.0,832,346,849642.0
2020-02-07,AAPL,1319,803.0,368,757,983831.0
2020-02-08,AAPL,1196,1055.0,1508,483,133876.0
2020-02-09,AAPL,1044,155.0,830,848,847557.0
2020-02-10,AAPL,357,1159.0,1228,516,654248.0
2020-02-11,AAPL,500,856.0,1000,1332,64196.0
2020-02-12,AAPL,1498,1063.0,1032,154,295078.0
2020-02-13,AAPL,1473,926.0,196,1012,630419.0
2020-02-14,AAPL,1040,842.0,648,269,633197.0
2020-02-15,AAPL,704,1495.0,409,100,996639.0
2020-02-16,AAPL,864,296.0,1208,388,353610.0
2020-02-17,AAPL,379,666.0,170,965,585829.0
2020-02-18,AAPL,845,832.0,771,644,492386.0
2020-02-19,AAPL,903,1465.0,166,780,779008.0
2020-02-20,AAPL,1441,333.0,1280,175,518618.0
2020-02-21,AAPL,1275,720.0,899,352,994051.0
2020-02-22,AAPL,192,284.0,940,96,722920.0
2020-02-23,AAPL,859,675.0,679,1056,185412.0
2020-02-24,AAPL,1348,1173.0,1329,1031,42840.0
2020-02-25,AAPL,456,1291.0,565,131,91254.0
2020-02-26,AAPL,1031,947.0,997,99,957040.0
2020-02-27,AAPL,581,641.0,1224,667,7886.0
2020-02-28,AAPL,679,974.0,830,789,980925.0
2020-02-29,AAPL,1343,400.0,1449,241,397778.0
2020-03-01,AAPL,581,1298.0,1421,904,380362.0
2020-03-02,AAPL,1143,645.0,1208,145,61939.0
2020-03-03,AAPL,1023,1148.0,948,1056,352223.0
2020-03-04,AAPL,887,248.0,833,1267,975314.0
2020-03-05,AAPL,133,1212.0,631,738,191176.0
2020-03-06,AAPL,1247,1187.0,354,309,404415.0
2020-03-07,AAPL,1410,704.0,353,472,128822.0
2020-03-08,AAPL,841,220.0,761,1170,968773.0
2020-03-09,AAPL,1089,1291.0,1209,1195,839197.0
2020-03-10,AAPL,1254,483.0,539,746,574007.0
2020-03-11,AAPL,1207,1200.0,242,1205,732059.0
2020-03-12,AAPL,502,1428.0,451,1031,318083.0
2020-03-13,AAPL,121,852.0,1095,1030,727302.0
2020-03-14,AAPL,303,343.0,1412,833,566612.0
2020-03-15,AAPL,147,1441.0,172,582,147925.0
2020-03-16,AAPL,884,471.0,472,910,499261.0
2020-03-17,AAPL,624,1381.0,486,953,946660.0
2020-03-18,AAPL,449,324.0,388,248,501057.0
2020-03-19,AAPL,207,458.0,324,592,19307.0
2020-03-20,AAPL,493,,843,1209,257400.0
2020-03-21,AAPL,944,1134.0,1355,223,689873.0
2020-03-22,AAPL,722,1153.0,1408,1135,699263.0
2020-03-23,AAPL,754,630.0,747,390,806205.0
2020-03-24,AAPL,736,1221.0,1405,518,857603.0
2020-03-25,AAPL,376,242.0,1340,176,356147.0
2020-03-26,AAPL,409,1061.0,450,519,581800.0
2020-03-27,AAPL,927,503.0,1451,261,705078.0
2020-03-28,AAPL,135,1405.0,1156,1238,309968.0
2020-03-29,AAPL,360,1136.0,641,833,
2020-03-30,AAPL,556,1154.0,705,1213,972912.0
2020-03-31,AAPL,1107,492.0,1469,600,741420.0
2020-04-01,AAPL,1339,279.0,255,1096,611804.0
2020-04-02,AAPL,1073,872.0,776,654,225919.0
2020-04-03,AAPL,534,602.0,1355,572,583050.0
2020-04-04,AAPL,139,331.0,227,521,343847.0
2020-04-05,AAPL,1255,1458.0,1447,646,214000.0
2020-04-06,AAPL,560,884.0,164,189,58524.0
2020-04-07,AAPL,947,1426.0,659,1305,355959.0
2020-04-08,AAPL,666,860.0,736,1007,582155.0
2020-04-09,AAPL,778,540.0,1469,172,670902.0
2020-04-10,AAPL,473,178.0,441,1073,270121.0
2020-04-11,AAPL,810,405.0,259,879,319228.0
2020-04-12,AAPL,144,739.0,1491,1261,327766.0
2020-04-13,AAPL,1087,898.0,397,1182,
2020-04-14,AAPL,747,227.0,654,893,289787.0
2020-04-15,AAPL,595,469.0,362,1030,874072.0
2020-04-16,AAPL,297,789.0,393,600,699663.0
2020-04-17,AAPL,200,132.0,779,144,255800.0
2020-04-18,AAPL,1304,701.0,1061,884,612765.0
2020-04-19,AAPL,1101,1056.0,285,232,211631.0
2020-04-20,AAPL,269,783.0,616,170,332735.0
2020-04-21,AAPL,129,1356.0,720,1276,640680.0
2020-04-22,AAPL,382,1353.0,697,105,534723.0
2020-04-23,AAPL,290,1282.0,267,1079,900818.0
2020-04-24,AAPL,826,318.0,1338,643,698523.0
2020-04-25,AAPL,1136,427.0,820,1176,794450.0
2020-04-26,AAPL,746,268.0,1154,863,516108.0
2020-04-27,AAPL,543,341.0,755,1098,872599.0
2020-04-28,AAPL,206,335.0,395,787,118553.0
2020-04-29,AAPL,597,238.0,1443,671,63474.0
2020-04-30,AAPL,1473,1171.0,1273,835,73341.0
2020-05-01,AAPL,586,1347.0,969,480,
2020-05-02,AAPL,1358,214.0,1420,189,586649.0
2020-05-03,AAPL,629,429.0,153,1289,563317.0
2020-05-04,AAPL,1129,433.0,830,871,66531.0
2020-05-05,AAPL,947,,1194,1368,401396.0
2020-05-06,AAPL,149,688.0,1185,367,23889.0
2020-05-07,AAPL,1456,118.0,1248,246,928837.0
2020-05-08,AAPL,1100,516.0,218,1178,477623.0
2020-05-09,AAPL,1088,752.0,508,617,990519.0
2020-05-10,AAPL,282,1184.0,410,221,489498.0
2020-05-11,AAPL,521,557.0,548,698,834813.0
2020-05-12,AAPL,699,414.0,679,1113,837299.0
2020-05-13,AAPL,1384,608.0,627,1312,446446.0
2020-05-14,AAPL,575,301.0,1226,550,709929.0
2020-05-15,AAPL,688,433.0,485,812,818259.0
2020-05-16,AAPL,333,,307,298,36567.0
2020-05-17,AAPL,431,112.0,1062,1069,466739.0
2020-05-18,AAPL,874,271.0,1125,627,659805.0
2020-05-19,AAPL,325,1066.0,470,403,875614.0
2020-05-20,AAPL,569,259.0,657,645,378406.0
2020-05-21,AAPL,185,755.0,936,1055,626267.0
2020-05-22,AAPL,576,895.0,532,775,627791.0
2020-05-23,AAPL,347,185.0,934,195,758528.0
2020-05-24,AAPL,1307,1300.0,343,577,622627.0
2020-05-25,AAPL,1200,891.0,754,1157,72895.0
2020-05-26,AAPL,1032,604.0,842,450,556335.0
2020-05-27,AAPL,185,,610,1133,656581.0
2020-05-28,AAPL,1354,926.0,760,162,59669.0
2020-05-29,AAPL,1011,1299.0,923,1261,534181.0
2020-05-30,AAPL,1439,1053.0,511,767,434295.0
2020-05-31,AAPL,950,105.0,858,843,412858.0
2020-06-01,AAPL,675,1497.0,1380,1043,387516.0
2020-06-02,AAPL,500,242.0,1370,738,549655.0
2020-06-03,AAPL,1159,139.0,495,951,400592.0
2020-06-04,AAPL,388,189.0,1429,339,784391.0
2020-06-05,AAPL,729,968.0,854,1304,593890.0
2020-06-06,AAPL,827,1422.0,500,1338,533002.0
2020-06-07,AAPL,1091,941.0,986,517,961991.0
2020-06-08,AAPL,261,396.0,951,767,315262.0
2020-06-09,AAPL,145,672.0,1426,1351,920643.0
2020-06-10,AAPL,575,,740,121,482679.0
2020-06-11,AAPL,498,1164.0,1059,668,882019.0
2020-06-12,AAPL,145,666.0,333,653,23229.0
2020-06-13,AAPL,973,828.0,1464,127,106312.0
2020-06-14,AAPL,1166,1056.0,1526,1047,424823.0
2020-06-15,AAPL,964,1079.0,317,144,410585.0
2020-06-16,AAPL,390,406.0,1431,713,849738.0
2020-06-17,AAPL,1219,1476.0,1373,761,963435.0
2020-06-18,AAPL,283,,668,1378,470273.0
2020-06-19,AAPL,330,697.0,378,495,992893.0
2020-06-20,AAPL,1014,1347.0,678,464,717852.0
2020-06-21,AAPL,365,562.0,922,432,651297.0
2020-06-22,AAPL,369,1061.0,1282,163,716364.0
2020-06-23,AAPL,1465,1365.0,508,940,151184.0
2020-06-24,AAPL,101,601.0,1186,811,159726.0
2020-06-25,AAPL,1411,304.0,1398,1021,58556.0
2020-06-26,AAPL,1010,328.0,608,788,187153.0
2020-06-27,AAPL,308,197.0,708,999,257039.0
2020-06-28,AAPL,660,,385,256,883617.0
2020-06-29,AAPL,1106,257.0,1370,928,392392.0
2020-06-30,AAPL,1285,125.0,247,1072,192481.0
2020-07-01,AAPL,1079,407.0,1355,820,349898.0
2020-07-02,AAPL,355,1069.0,730,1130,240403.0
2020-07-03,AAPL,1462,413.0,494,1318,924119.0
2020-07-04,AAPL,676,1105.0,848,675,119449.0
2020-07-05,AAPL,561,894.0,1435,1287,
2020-07-06,AAPL,1390,927.0,916,275,391842.0
2020-07-07,AAPL,639,193.0,1041,646,451897.0
2020-07-08,AAPL,256,1064.0,1101,1199,455885.0
2020-07-09,AAPL,1132,1400.0,535,924,175427.0
2020-07-10,AAPL,712,850.0,1149,865,140735.0
2020-07-11,AAPL,528,907.0,1227,313,244257.0
2020-07-12,AAPL,922,626.0,531,1302,241310.0
2020-07-13,AAPL,1422,1198.0,412,636,121663.0
2020-07-14,AAPL,1472,216.0,214,1350,375533.0
2020-07-15,AAPL,619,511.0,313,309,349337.0
2020-07-16,AAPL,853,989.0,927,716,547404.0
2020-07-17,AAPL,243,844.0,1179,914,772559.0
2020-07-18,AAPL,1334,338.0,979,164,559915.0
2020-07-19,AAPL,1355,1179.0,803,716,949465.0
2020-07-20,AAPL,1104,848.0,1097,285,182128.0
2020-07-21,AAPL,1168,1044.0,392,505,742010.0
2020-07-22,AAPL,621,1121.0,1534,813,711475.0
2020-07-23,AAPL,540,793.0,671,816,
2020-07-24,AAPL,1094,330.0,445,118,289353.0
2020-07-25,AAPL,276,1352.0,1247,1386,25785.0
2020-07-26,AAPL,739,235.0,289,164,
2020-07-27,AAPL,1017,824.0,993,1248,812982.0
2020-07-28,AAPL,244,1014.0,1455,319,438208.0
2020-07-29,AAPL,111,1299.0,803,873,497262.0
2020-07-30,AAPL,1284,498.0,713,526,836732.0
2020-07-31,AAPL,908,612.0,454,989,267715.0
2020-08-01,AAPL,169,471.0,1130,790,378608.0
2020-08-02,AAPL,1487,856.0,1362,775,62930.0
2020-08-03,AAPL,149,172.0,947,1218,298947.0
2020-08-04,AAPL,466,1494.0,669,510,678467.0
2020-08-05,AAPL,590,1409.0,1025,1364,307948.0
2020-08-06,AAPL,536,379.0,312,812,293486.0
2020-08-07,AAPL,747,928.0,692,281,109652.0
2020-08-08,AAPL,192,288.0,1530,1253,111644.0
2020-08-09,AAPL,790,505.0,1491,1234,464755.0
2020-08-10,AAPL,946,1408.0,686,582,718262.0
2020-08-11,AAPL,659,1024.0,428,401,386716.0
2020-08-12,AAPL,1058,566.0,386,706,278873.0
2020-08-13,AAPL,561,1014.0,1371,672,195341.0
2020-08-14,AAPL,1335,746.0,546,928,770615.0
2020-08-15,AAPL,1229,1387.0,666,1386,167062.0
2020-08-16,AAPL,1201,764.0,721,415,252737.0
2020-08-17,AAPL,1191,239.0,329,359,946252.0
2020-08-18,AAPL,1157,1290.0,1061,992,710378.0
2020-08-19,AAPL,431,1105.0,1404,1377,983538.0
2020-08-20,AAPL,1192,728.0,641,992,714361.0
2020-08-21,AAPL,330,1463.0,1156,822,808751.0
2020-08-22,AAPL,707,,1503,1272,20112.0
2020-08-23,AAPL,863,1460.0,212,1276,558264.0
2020-08-24,AAPL,1109,859.0,820,119,63392.0
2020-08-25,AAPL,178,954.0,1436,1312,209833.0
2020-08-26,AAPL,527,1039.0,207,937,903937.0
2020-08-27,AAPL,1493,958.0,202,539,133901.0
2020-08-28,AAPL,480,1421.0,519,1099,188780.0
2020-08-29,AAPL,1103,552.0,1474,348,647047.0
2020-08-30,AAPL,620,127.0,1469,995,158498.0
2020-08-31,AAPL,965,363.0,918,842,889133.0
2020-09-01,AAPL,506,1035.0,778,866,512388.0
2020-09-02,AAPL,284,563.0,445,1083,201855.0
2020-09-03,AAPL,281,403.0,263,471,750214.0
2020-09-04,AAPL,360,407.0,645,1344,321103.0
2020-09-05,AAPL,144,1426.0,821,317,477536.0
2020-09-06,AAPL,1435,1342.0,526,1106,720025.0
2020-09-07,AAPL,1400,,849,1026,618829.0
2020-09-08,AAPL,911,1465.0,756,1099,97323.0
2020-09-09,AAPL,533,158.0,1436,166,683676.0
2020-09-10,AAPL,374,908.0,390,702,119723.0
2020-09-11,AAPL,284,1199.0,1099,1150,694285.0
2020-09-12,AAPL,761,1128.0,470,457,143038.0
2020-09-13,AAPL,221,526.0,1400,410,761250.0
2020-09-14,AAPL,118,654.0,1392,369,250512.0
2020-09-15,AAPL,1065,577.0,793,127,250188.0
2020-09-16,AAPL,347,1280.0,1384,467,254210.0
2020-09-17,AAPL,105,213.0,1050,1100,741861.0
2020-09-18,AAPL,1281,1194.0,332,987,302162.0
2020-09-19,AAPL,1038,485.0,1387,612,543515.0
2020-09-20,AAPL,1370,799.0,1320,943,556953.0
2020-09-21,AAPL,1042,541.0,186,661,706810.0
2020-09-22,AAPL,1192,1033.0,1083,277,557863.0
2020-09-23,AAPL,338,566.0,1077,91,930012.0
2020-09-24,AAPL,202,774.0,361,330,948089.0
2020-09-25,AAPL,1008,1068.0,1275,1136,764881.0
2020-09-26,AAPL,922,1021.0,781,1073,280112.0
2020-09-27,AAPL,1212,829.0,887,669,666838.0
2020-09-28,AAPL,191,1202.0,1548,495,978972.0
2020-09-29,AAPL,1119,839.0,1463,1346,959550.0
2020-09-30,AAPL,539,569.0,755,159,
2020-10-01,AAPL,1140,1013.0,1146,115,841545.0
2020-10-02,AAPL,594,1450.0,1277,289,588546.0
2020-10-03,AAPL,745,,185,981,382415.0
2020-10-04,AAPL,204,271.0,357,486,277830.0
2020-10-05,AAPL,705,808.0,1446,955,80889.0
2020-10-06,AAPL,173,821.0,189,528,467049.0
2020-10-07,AAPL,795,1037.0,1440,1065,11786.0
2020-10-08,AAPL,395,1408.0,363,496,744099.0
2020-10-09,AAPL,1330,1090.0,706,867,648968.0
2020-10-10,AAPL,1066,1407.0,227,1277,363655.0
2020-10-11,AAPL,1314,1494.0,1285,1366,157483.0
2020-10-12,AAPL,649,,1325,1243,970832.0
2020-10-13,AAPL,442,1140.0,1547,942,476493.0
2020-10-14,AAPL,1365,506.0,870,218,755230.0
2020-10-15,AAPL,914,729.0,1506,684,902027.0
2020-10-16,AAPL,1389,265.0,238,1238,153909.0
2020-10-17,AAPL,775,1389.0,599,1341,677671.0
2020-10-18,AAPL,1016,497.0,154,1034,709998.0
2020-10-19,AAPL,1322,482.0,826,652,194769.0
2020-10-20,AAPL,996,765.0,869,750,798546.0
2020-10-21,AAPL,312,1074.0,901,1008,876928.0
2020-10-22,AAPL,645,490.0,1264,532,522000.0
2020-10-23,AAPL,367,597.0,481,795,504618.0
2020-10-24,AAPL,403,577.0,494,498,130821.0
2020-10-25,AAPL,1263,459.0,157,213,543426.0
2020-10-26,AAPL,1160,1142.0,478,494,832992.0
2020-10-27,AAPL,556,1167.0,1247,959,618164.0
2020-10-28,AAPL,811,,613,1285,356423.0
2020-10-29,AAPL,921,407.0,1256,1099,27323.0
2020-10-30,AAPL,875,1452.0,791,1193,704852.0
2020-10-31,AAPL,505,602.0,813,951,866177.0
2020-11-01,AAPL,226,288.0,833,1156,587958.0
2020-11-02,AAPL,1399,371.0,1091,486,170298.0
2020-11-03,AAPL,1425,356.0,1367,276,222644.0
2020-11-04,AAPL,534,,853,998,862028.0
2020-11-05,AAPL,327,787.0,1403,1091,710088.0
2020-11-06,AAPL,994,1249.0,1191,728,29135.0
2020-11-07,AAPL,949,119.0,909,905,690697.0
2020-11-08,AAPL,876,851.0,381,621,685906.0
2020-11-09,AAPL,984,1315.0,1295,1009,326576.0
2020-11-10,AAPL,819,1289.0,446,1070,175586.0
2020-11-11,AAPL,1087,104.0,1506,831,645727.0
2020-11-12,AAPL,543,1323.0,877,436,710760.0
2020-11-13,AAPL,203,1043.0,757,878,912384.0
2020-11-14,AAPL,684,418.0,269,1099,5659.0
2020-11-15,AAPL,1009,500.0,357,693,569747.0
2020-11-16,AAPL,1276,926.0,933,215,493252.0
2020-11-17,AAPL,1392,793.0,335,878,150866.0
2020-11-18,AAPL,1350,1407.0,1272,616,472763.0
2020-11-19,AAPL,295,472.0,863,1348,691003.0
2020-11-20,AAPL,1248,128.0,1161,1275,680169.0
2020-11-21,AAPL,708,817.0,841,322,946159.0
