date,symbol,open_price,close_price,high_price,low_price,volume
2020-01-01,MSFT,433,446.0,750,916,357133.0
2020-01-02,MSFT,146,762.0,326,264,754165.0
2020-01-03,MSFT,629,255.0,658,561,658375.0
2020-01-04,MSFT,1374,1403.0,1067,1144,
2020-01-05,MSFT,808,1111.0,1437,188,210036.0
2020-01-06,MSFT,1330,511.0,1456,1385,84679.0
2020-01-07,MSFT,1006,1187.0,1433,651,639426.0
2020-01-08,MSFT,524,532.0,821,627,506539.0
2020-01-09,MSFT,1371,706.0,265,1233,431368.0
2020-01-10,MSFT,1148,687.0,1115,713,999356.0
2020-01-11,MSFT,1331,130.0,1263,796,298575.0
2020-01-12,MSFT,984,1353.0,195,1065,705994.0
2020-01-13,MSFT,860,1327.0,1056,988,730021.0
2020-01-14,MSFT,1068,1050.0,575,509,982143.0
2020-01-15,MSFT,560,1046.0,1315,426,651229.0
2020-01-16,MSFT,1221,1059.0,323,695,641368.0
2020-01-17,MSFT,750,1392.0,1126,1016,351962.0
2020-01-18,MSFT,970,609.0,1083,1030,463451.0
2020-01-19,MSFT,1434,647.0,255,772,278134.0
2020-01-20,MSFT,294,842.0,1486,232,810728.0
2020-01-21,MSFT,601,1313.0,404,898,805859.0
2020-01-22,MSFT,713,1148.0,1264,843,523861.0
2020-01-23,MSFT,110,271.0,967,529,645087.0
2020-01-24,MSFT,1256,380.0,314,403,493478.0
2020-01-25,MSFT,819,210.0,154,216,129074.0
2020-01-26,MSFT,231,1133.0,1480,125,569865.0
2020-01-27,MSFT,380,1497.0,476,1370,260780.0
2020-01-28,MSFT,1346,610.0,972,559,
2020-01-29,MSFT,139,1234.0,808,669,627869.0
2020-01-30,MSFT,644,563.0,550,972,829979.0
2020-01-31,MSFT,664,1205.0,1189,176,348563.0
2020-02-01,MSFT,1464,124.0,895,222,170115.0
2020-02-02,MSFT,387,1431.0,345,349,391841.0
2020-02-03,MSFT,431,1229.0,897,1004,168284.0
2020-02-04,MSFT,146,1375.0,1185,410,494118.0
2020-02-05,MSFT,450,257.0,890,655,692460.0
2020-02-06,MSFT,780,1372.0,613,808,934077.0
2020-02-07,MSFT,873,308.0,1045,1139,375200.0
2020-02-08,MSFT,1425,1463.0,247,390,204906.0
2020-02-09,MSFT,209,1327.0,918,673,153448.0
2020-02-10,MSFT,480,160.0,1313,133,485525.0
2020-02-11,MSFT,717,1368.0,1456,737,492389.0
2020-02-12,MSFT,422,359.0,1460,280,516110.0
2020-02-13,MSFT,885,110.0,643,1258,887754.0
2020-02-14,MSFT,206,572.0,979,788,13385.0
2020-02-15,MSFT,1339,241.0,1312,545,68537.0
2020-02-16,MSFT,1151,1432.0,411,1179,961574.0
2020-02-17,MSFT,337,877.0,1265,604,101431.0
2020-02-18,MSFT,951,917.0,1043,539,674795.0
2020-02-19,MSFT,1452,319.0,1288,405,192584.0
2020-02-20,MSFT,1101,1446.0,1266,716,207634.0
2020-02-21,MSFT,521,1121.0,1495,1318,78242.0
2020-02-22,MSFT,865,105.0,576,102,422624.0
2020-02-23,MSFT,1050,544.0,1360,880,549808.0
2020-02-24,MSFT,1368,1323.0,1125,1043,849453.0
2020-02-25,MSFT,898,999.0,1343,441,378881.0
2020-02-26,MSFT,1175,1040.0,417,439,728083.0
2020-02-27,MSFT,520,193.0,1395,817,621444.0
2020-02-28,MSFT,736,1055.0,1001,1220,244558.0
2020-02-29,MSFT,981,1242.0,1493,278,889311.0
2020-03-01,MSFT,663,1133.0,1184,550,245353.0
2020-03-02,MSFT,599,1455.0,538,183,300351.0
2020-03-03,MSFT,1471,607.0,539,222,800560.0
2020-03-04,MSFT,363,453.0,1070,1316,730960.0
2020-03-05,MSFT,1329,509.0,1291,904,85883.0
2020-03-06,MSFT,1470,623.0,168,817,395161.0
2020-03-07,MSFT,725,907.0,1342,1329,806112.0
2020-03-08,MSFT,1294,1159.0,694,211,156573.0
2020-03-09,MSFT,111,1324.0,667,1161,354883.0
2020-03-10,MSFT,485,758.0,610,1257,351876.0
2020-03-11,MSFT,1250,840.0,1016,486,350850.0
2020-03-12,MSFT,384,1116.0,823,194,648382.0
2020-03-13,MSFT,958,996.0,701,919,144846.0
2020-03-14,MSFT,858,321.0,951,1037,461325.0
2020-03-15,MSFT,210,607.0,1238,127,916748.0
2020-03-16,MSFT,303,578.0,1540,373,615526.0
2020-03-17,MSFT,1176,179.0,163,618,266389.0
2020-03-18,MSFT,555,416.0,636,248,68302.0
2020-03-19,MSFT,1162,657.0,625,1060,659013.0
2020-03-20,MSFT,901,,454,1069,645141.0
2020-03-21,MSFT,1234,1078.0,820,882,693107.0
2020-03-22,MSFT,121,969.0,981,112,48192.0
2020-03-23,MSFT,473,214.0,824,1088,242064.0
2020-03-24,MSFT,487,710.0,530,152,878425.0
2020-03-25,MSFT,777,632.0,694,1094,240260.0
2020-03-26,MSFT,309,247.0,600,991,657637.0
2020-03-27,MSFT,571,1148.0,1352,715,460099.0
2020-03-28,MSFT,1240,825.0,1264,1363,558823.0
2020-03-29,MSFT,118,623.0,1123,752,
2020-03-30,MSFT,1309,1213.0,609,867,621666.0
2020-03-31,MSFT,1103,811.0,1376,426,737528.0
2020-04-01,MSFT,395,117.0,1010,960,452928.0
2020-04-02,MSFT,1244,1349.0,1145,1270,753734.0
2020-04-03,MSFT,1477,1269.0,812,710,333114.0
2020-04-04,MSFT,503,1324.0,979,1173,945338.0
2020-04-05,MSFT,297,854.0,621,1288,924097.0
2020-04-06,MSFT,1357,544.0,223,1326,87505.0
2020-04-07,MSFT,1105,1443.0,679,565,912758.0
2020-04-08,MSFT,1457,1042.0,486,689,20144.0
2020-04-09,MSFT,1394,1161.0,194,457,342633.0
2020-04-10,MSFT,1181,1067.0,671,275,833037.0
2020-04-11,MSFT,799,756.0,1403,1380,518204.0
2020-04-12,MSFT,676,200.0,1375,266,528620.0
2020-04-13,MSFT,981,501.0,618,959,
2020-04-14,MSFT,226,1455.0,1183,1166,785835.0
2020-04-15,MSFT,284,1399.0,637,1354,350619.0
