date,symbol,open_price,close_price,high_price,low_price,volume
2020-01-01,GOOG,528,212.0,378,332,75589.0
2020-01-02,GOOG,365,1489.0,667,388,924882.0
2020-01-03,GOOG,635,307.0,879,373,218276.0
2020-01-04,GOOG,1368,1098.0,718,550,
2020-01-05,GOOG,1381,615.0,920,280,773686.0
2020-01-06,GOOG,228,903.0,289,499,861996.0
2020-01-07,GOOG,668,445.0,1180,1138,559931.0
2020-01-08,GOOG,391,1291.0,960,881,990159.0
2020-01-09,GOOG,788,1291.0,333,1200,616752.0
2020-01-10,GOOG,701,1060.0,1243,496,182236.0
2020-01-11,GOOG,1139,1204.0,437,980,475779.0
2020-01-12,GOOG,1152,948.0,667,382,385860.0
2020-01-13,GOOG,462,798.0,323,461,338911.0
2020-01-14,GOOG,165,683.0,1184,1139,522002.0
2020-01-15,GOOG,114,1185.0,749,598,360783.0
2020-01-16,GOOG,1113,1372.0,959,394,679613.0
2020-01-17,GOOG,1105,969.0,783,403,940048.0
2020-01-18,GOOG,661,255.0,839,982,796236.0
2020-01-19,GOOG,1267,874.0,437,1073,113300.0
2020-01-20,GOOG,528,985.0,710,597,412640.0
2020-01-21,GOOG,630,987.0,596,763,248024.0
2020-01-22,GOOG,1016,1112.0,739,306,103644.0
2020-01-23,GOOG,636,140.0,1017,156,316556.0
2020-01-24,GOOG,210,588.0,1001,246,902006.0
2020-01-25,GOOG,850,403.0,708,752,274597.0
2020-01-26,GOOG,320,1096.0,1315,564,729250.0
2020-01-27,GOOG,973,1001.0,388,226,76569.0
2020-01-28,GOOG,290,1266.0,1245,999,
2020-01-29,GOOG,950,1066.0,1102,977,851427.0
2020-01-30,GOOG,1224,507.0,250,1200,929254.0
2020-01-31,GOOG,257,1425.0,885,198,833752.0
2020-02-01,GOOG,1088,1299.0,972,1251,976059.0
2020-02-02,GOOG,616,957.0,1013,1017,625491.0
2020-02-03,GOOG,1187,1069.0,921,917,672916.0
2020-02-04,GOOG,1280,245.0,1455,369,999262.0
2020-02-05,GOOG,551,431.0,892,924,602180.0
2020-02-06,GOOG,1151,1188.0,1539,1290,26865.0
2020-02-07,GOOG,1422,266.0,291,757,68537.0
2020-02-08,GOOG,917,959.0,168,676,876490.0
2020-02-09,GOOG,992,321.0,958,221,317251.0
2020-02-10,GOOG,728,636.0,1420,513,299685.0
2020-02-11,GOOG,536,1192.0,434,583,621934.0
2020-02-12,GOOG,733,1190.0,849,846,672354.0
2020-02-13,GOOG,1167,675.0,880,427,518488.0
2020-02-14,GOOG,772,906.0,1305,1376,217891.0
2020-02-15,GOOG,1404,1117.0,855,618,858948.0
2020-02-16,GOOG,304,1436.0,477,886,247496.0
2020-02-17,GOOG,353,679.0,239,330,650912.0
2020-02-18,GOOG,584,871.0,568,1094,112026.0
2020-02-19,GOOG,349,1029.0,649,292,291558.0
2020-02-20,GOOG,685,381.0,628,168,689134.0
2020-02-21,GOOG,123,1169.0,1434,1334,4787.0
2020-02-22,GOOG,824,1424.0,635,264,234462.0
2020-02-23,GOOG,912,443.0,1430,986,272635.0
2020-02-24,GOOG,1408,1263.0,1170,141,36960.0
2020-02-25,GOOG,1091,343.0,1534,465,628198.0
2020-02-26,GOOG,808,1325.0,1544,455,407502.0
2020-02-27,GOOG,410,1228.0,749,342,865032.0
2020-02-28,GOOG,1431,487.0,1180,164,466336.0
2020-02-29,GOOG,1400,299.0,590,696,934352.0
2020-03-01,GOOG,200,175.0,1505,898,812110.0
2020-03-02,GOOG,1217,1128.0,601,774,865402.0
2020-03-03,GOOG,675,1208.0,991,1010,396153.0
2020-03-04,GOOG,507,1070.0,598,275,466365.0
2020-03-05,GOOG,1299,318.0,1109,186,56702.0
2020-03-06,GOOG,692,802.0,395,993,343018.0
2020-03-07,GOOG,393,877.0,1499,1070,796509.0
2020-03-08,GOOG,1018,522.0,1516,939,461252.0
2020-03-09,GOOG,765,886.0,633,502,821710.0
2020-03-10,GOOG,837,725.0,336,343,56761.0
2020-03-11,GOOG,1386,893.0,679,563,283967.0
2020-03-12,GOOG,1398,721.0,1378,568,345856.0
2020-03-13,GOOG,1405,857.0,573,1087,50718.0
2020-03-14,GOOG,666,1198.0,433,287,176166.0
2020-03-15,GOOG,963,749.0,869,537,379212.0
2020-03-16,GOOG,324,802.0,1510,1079,794070.0
